# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_com_aroma_ring[1] c_com_aroma_ring[2] c_com_aroma_ring[3]
6000 12
1 12.368 18.9994 -20.9794
2 1.57609 -16.5335 -21.1229
3 -21.1878 22.3344 -20.8534
4 -2.94033 -8.60985 11.4006
5 0.488283 23.4311 11.7057
6 -20.337 20.689 42.2123
7 10.4146 -18.8544 -20.4668
8 -23.7453 -34.3791 -20.5779
9 -34.18 19.4338 -20.9694
10 -17.5751 -22.7614 11.6727
11 -5.20992 -0.900334 -20.5132
12 39.4967 3.02347 11.7697
12000 12
1 12.6717 19.8179 -20.505
2 2.0775 -17.0692 -20.642
3 -21.2372 21.8469 -20.8364
4 -3.67691 -8.02527 11.6743
5 0.654438 23.1053 11.5882
6 -20.0249 20.164 42.2921
7 10.5381 -18.9267 -20.5887
8 -24.0466 -34.5524 -20.8324
9 -33.8144 20.254 -20.4868
10 -17.7289 -22.6244 11.7889
11 -6.19308 -1.33892 -20.3651
12 40.4004 2.89738 11.6506
18000 12
1 12.8648 19.6289 -20.6783
2 2.11812 -17.4428 -20.6104
3 -20.7003 21.5921 -20.6407
4 -4.4148 -8.65879 11.885
5 0.333154 23.4074 11.5096
6 -19.8504 20.1056 42.3373
7 10.2309 -18.4643 -20.5339
8 -24.6964 -34.7462 -20.5157
9 -33.6221 20.0917 -20.7069
10 -17.9463 -21.7029 11.2671
11 -6.03937 -1.09424 -20.4037
12 40.7187 2.69607 11.6887
24000 12
1 12.4437 20.7514 -20.5908
2 2.35696 -17.551 -20.7739
3 -19.8377 21.5556 -20.4487
4 -4.36532 -8.59688 11.875
5 -0.880933 23.8572 11.8392
6 -19.1117 19.7935 42.5535
7 10.1893 -18.3238 -20.4868
8 -24.4984 -34.8085 -20.2702
9 -34.0055 21.2552 -20.6145
10 -17.678 -20.1997 11.5052
11 -6.6862 -0.713271 -20.4504
12 41.1252 3.53027 11.6674
30000 12
1 12.6526 21.0177 -20.2795
2 2.77598 -18.3857 -20.562
3 -19.8398 21.5132 -20.6378
4 -4.79215 -8.69003 11.6097
5 -1.11802 23.3754 11.9402
6 -18.9702 19.8848 42.4867
7 9.52625 -18.0378 -20.5351
8 -23.5739 -34.9083 -20.3293
9 -33.8587 21.4212 -20.3456
10 -18.091 -20.777 11.4513
11 -7.61705 -1.00072 -20.5799
12 40.9513 3.5073 11.467
36000 12
1 13.9174 21.3606 -20.3813
2 3.25313 -19.2758 -20.2458
3 -19.0992 20.9496 -20.6398
4 -5.26552 -9.22922 11.3364
5 -0.675334 23.6428 11.6453
6 -18.7006 19.2516 42.416
7 8.74245 -17.9729 -20.5259
8 -23.6595 -35.1008 -20.6185
9 -32.5951 21.7854 -20.4066
10 -17.4777 -21.1007 11.0398
11 -7.97249 -1.22786 -20.7822
12 40.5098 4.20314 11.6036
42000 12
1 13.9326 22.1048 -20.4714
2 3.43245 -20.3646 -20.5365
3 -19.2847 20.8632 -20.5174
4 -5.42018 -10.1262 11.0214
5 -0.688436 23.5013 11.4807
6 -19.1604 19.4163 42.56
7 8.66638 -17.5611 -20.4337
8 -23.5874 -35.4592 -20.6257
9 -32.5648 22.514 -20.5064
10 -17.2202 -20.7528 11.3707
11 -8.21895 -1.5881 -20.9928
12 40.2079 5.22932 11.6914
48000 12
1 13.8511 22.5603 -20.7308
2 3.85033 -20.8641 -20.4971
3 -19.8247 20.6709 -20.3795
4 -4.83837 -11.2456 11.2996
5 -1.05435 23.8287 11.5153
6 -19.5448 19.1716 42.6641
7 8.34032 -18.433 -20.2766
8 -24.2781 -35.1029 -20.4208
9 -32.6633 22.9797 -20.7177
10 -17.4808 -20.7851 11.6498
11 -8.22694 -1.32157 -20.7087
12 39.3733 4.64572 11.9033
54000 12
1 14.0269 22.5896 -20.4631
2 2.93224 -20.4248 -20.4946
3 -19.8196 20.781 -20.3934
4 -4.81907 -12.2908 11.4404
5 -1.47989 24.1967 11.3912
6 -19.445 19.167 42.773
7 8.89151 -18.7413 -20.4265
8 -25.3043 -34.8404 -20.5914
9 -32.3855 23.1119 -20.4328
10 -17.6001 -21.2103 11.294
11 -7.96096 -1.10042 -20.5393
12 38.7376 4.58678 11.8118
60000 12
1 14.0028 22.5845 -20.371
2 2.71279 -19.3089 -20.4698
3 -19.6263 20.412 -20.4282
4 -3.75284 -12.5 11.702
5 -1.44717 24.8432 11.1325
6 -19.334 18.5609 42.6873
7 9.56818 -18.7798 -20.6468
8 -24.8521 -34.9651 -20.5708
9 -32.2481 23.2351 -20.4449
10 -17.8034 -21.0346 11.5085
11 -7.81853 -1.0935 -20.5755
12 38.6515 4.33938 11.6586
66000 12
1 14.4181 22.5334 -20.4755
2 3.08406 -18.5764 -20.6456
3 -20.0297 19.6885 -20.6008
4 -2.05735 -11.5311 11.6738
5 -0.829781 24.583 11.3882
6 -19.5609 17.7899 42.5415
7 10.074 -17.7036 -20.6092
8 -24.3298 -34.7125 -20.3217
9 -31.8465 23.2291 -20.4616
10 -17.1458 -21.8613 11.9479
11 -8.17854 -1.04092 -20.7232
12 37.5739 5.08043 11.6137
72000 12
1 14.2034 22.6805 -20.4846
2 3.56617 -18.1853 -20.5951
3 -20.0959 19.5775 -20.4557
4 -1.27129 -12.2842 11.7336
5 -2.04199 24.1067 11.2187
6 -19.8768 17.7279 42.626
7 10.0213 -16.2238 -20.7587
8 -24.0422 -34.3717 -20.5248
9 -31.9282 23.3776 -20.5271
10 -16.1435 -21.0466 11.7645
11 -8.42967 -0.642212 -20.5817
12 37.2559 4.60303 11.4135
78000 12
1 14.5653 22.6363 -20.5581
2 4.0949 -17.7769 -20.7386
3 -20.7438 18.7278 -20.4496
4 -1.03221 -12.5412 11.7025
5 -2.73196 23.1303 11.6316
6 -20.1035 17.3116 42.7539
7 9.89213 -16.5761 -20.7678
8 -23.3645 -33.9823 -20.22
9 -31.4074 23.2869 -20.6246
10 -16.2297 -22.1244 11.67
11 -8.27158 0.434363 -20.9127
12 36.7931 4.63625 11.3802
84000 12
1 14.6394 22.3156 -20.704
2 4.30477 -17.1409 -20.8746
3 -20.1259 18.9154 -20.3451
4 -1.38441 -12.1277 11.3026
5 -3.22823 22.4014 11.7224
6 -19.6325 17.4893 42.7836
7 10.9871 -16.9949 -20.556
8 -23.9829 -34.0205 -20.6297
9 -31.1095 22.9014 -20.5775
10 -17.1332 -21.9359 11.744
11 -7.66177 1.7932 -20.6471
12 36.6986 4.78133 11.4892
90000 12
1 14.3004 21.9234 -20.6492
2 4.03201 -17.4214 -21.088
3 -20.2191 19.1354 -20.4541
4 -1.58364 -11.9469 11.2102
5 -4.52451 21.3875 11.7477
6 -19.8301 18.2741 42.4351
7 12.158 -16.3454 -20.3797
8 -24.182 -34.1222 -20.5054
9 -31.4359 22.54 -20.6193
10 -18.7741 -21.2221 11.7386
11 -7.18146 1.91559 -20.4177
12 37.8889 4.98695 11.7148
96000 12
1 14.3047 22.5792 -20.3174
2 3.32208 -17.241 -20.5036
3 -19.907 19.5086 -20.6446
4 -2.8194 -12.0366 11.6294
