 Frame            time  Nº cluster  Nº link  Average cluster size
    0            0.000   122        52       1.402
    1        90000.000   102        74       1.676
    2       180000.000    84        96       2.036
    3       270000.000    76       106       2.250
    4       360000.000    69       120       2.478
    5       450000.000    63       135       2.714
    6       540000.000    60       138       2.850
    7       630000.000    58       131       2.948
    8       720000.000    53       137       3.226
    9       810000.000    48       147       3.562
   10       900000.000    48       153       3.562
   11       990000.000    41       168       4.171
   12      1080000.000    40       178       4.275
   13      1170000.000    39       181       4.385
   14      1260000.000    34       182       5.029
   15      1350000.000    31       191       5.516
   16      1440000.000    29       186       5.897
   17      1530000.000    27       196       6.333
   18      1620000.000    26       201       6.577
   19      1710000.000    26       196       6.577
   20      1800000.000    24       201       7.125
   21      1890000.000    24       199       7.125
   22      1980000.000    27       198       6.333
   23      2070000.000    26       195       6.577
   24      2160000.000    23       205       7.435
   25      2250000.000    24       206       7.125
   26      2340000.000    24       201       7.125
   27      2430000.000    24       192       7.125
   28      2520000.000    23       201       7.435
   29      2610000.000    23       199       7.435
   30      2700000.000    25       198       6.840
   31      2790000.000    25       192       6.840
   32      2880000.000    25       195       6.840
   33      2970000.000    23       197       7.435
   34      3060000.000    21       196       8.143
   35      3150000.000    23       196       7.435
   36      3240000.000    23       196       7.435
   37      3330000.000    22       203       7.773
   38      3420000.000    21       204       8.143
   39      3510000.000    21       198       8.143
   40      3600000.000    21       202       8.143
   41      3690000.000    19       204       9.000
   42      3780000.000    19       209       9.000
   43      3870000.000    17       207      10.059
   44      3960000.000    16       213      10.688
   45      4050000.000    16       217      10.688
   46      4140000.000    17       208      10.059
   47      4230000.000    17       208      10.059
   48      4320000.000    17       212      10.059
   49      4410000.000    17       215      10.059
   50      4500000.000    15       213      11.400
   51      4590000.000    16       213      10.688
   52      4680000.000    16       209      10.688
   53      4770000.000    14       211      12.214
   54      4860000.000    15       216      11.400
   55      4950000.000    13       222      13.154
   56      5040000.000    11       225      15.545
   57      5130000.000    11       229      15.545
   58      5220000.000    14       227      12.214
   59      5310000.000    12       231      14.250
   60      5400000.000    12       234      14.250
   61      5490000.000    12       235      14.250
   62      5580000.000    12       231      14.250
   63      5670000.000    12       235      14.250
   64      5760000.000    12       233      14.250
   65      5850000.000     9       237      19.000
   66      5940000.000    11       236      15.545
   67      6030000.000     8       236      21.375
   68      6120000.000    11       239      15.545
   69      6210000.000    11       234      15.545
   70      6300000.000    12       236      14.250
   71      6390000.000    10       244      17.100
   72      6480000.000    11       234      15.545
   73      6570000.000    11       234      15.545
   74      6660000.000    12       227      14.250
   75      6750000.000    11       228      15.545
   76      6840000.000    11       229      15.545
   77      6930000.000    11       233      15.545
   78      7020000.000    11       238      15.545
   79      7110000.000    10       236      17.100
   80      7200000.000    10       231      17.100
   81      7290000.000    10       232      17.100
   82      7380000.000     9       236      19.000
   83      7470000.000    10       225      17.100
   84      7560000.000    10       224      17.100
   85      7650000.000    12       233      14.250
   86      7740000.000    10       232      17.100
   87      7830000.000    12       232      14.250
   88      7920000.000    11       233      15.545
   89      8010000.000    11       233      15.545
   90      8100000.000    11       226      15.545
   91      8190000.000    11       232      15.545
   92      8280000.000    11       229      15.545
   93      8370000.000    11       227      15.545
   94      8460000.000    11       234      15.545
   95      8550000.000    10       235      17.100
   96      8640000.000    11       230      15.545
   97      8730000.000    10       237      17.100
   98      8820000.000    11       235      15.545
   99      8910000.000    11       239      15.545
  100      9000000.000    10       235      17.100
